"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Breece Hall",NYJ,"RB1","10","21","4 out of 5 stars","0"
"2",1,"Drake London",ATL,"WR1","14","21","4 out of 5 stars","0"
"3",2,"Ken Walker III",SEA,"RB2","11","21","2 out of 5 stars","+1"
"4",2,"Treylon Burks",TEN,"WR2","6","22","3 out of 5 stars","-1"
"5",2,"Jameson Williams",DET,"WR3","6","21","3 out of 5 stars","+1"
"6",2,"Garrett Wilson",NYJ,"WR4","10","22","1 out of 5 stars","-1"
"7",2,"Chris Olave",NO,"WR5","14","22","4 out of 5 stars","0"
"8",2,"Skyy Moore",KC,"WR6","8","21","2 out of 5 stars","0"
"9",3,"Christian Watson",GB,"WR7","14","23","3 out of 5 stars","0"
"10",3,"George Pickens",PIT,"WR8","9","21","4 out of 5 stars","+1"
"11",3,"James Cook",BUF,"RB3","7","22","4 out of 5 stars","+1"
"12",3,"Jahan Dotson",WAS,"WR9","14","22","4 out of 5 stars","-2"
"13",3,"Dameon Pierce",HOU,"RB4","6","22","3 out of 5 stars","+3"
"14",3,"Rachaad White",TB,"RB5","11","23","2 out of 5 stars","-1"
"15",3,"David Bell",CLE,"WR10","9","21","4 out of 5 stars","0"
"16",4,"Alec Pierce",IND,"WR11","14","22","4 out of 5 stars","+2"
"17",4,"Isaiah Spiller",LAC,"RB6","8","21","2 out of 5 stars","0"
"18",4,"Jalen Tolbert",DAL,"WR12","9","23","3 out of 5 stars","+2"
"19",4,"Brian Robinson Jr.",WAS,"RB7","14","23","4 out of 5 stars","+6"
"20",4,"Wan'Dale Robinson",NYG,"WR13","9","21","4 out of 5 stars","-1"
"21",4,"Trey McBride",ARI,"TE1","13","22","3 out of 5 stars","+2"
"22",4,"Kenny Pickett",PIT,"QB1","9","24","3 out of 5 stars","+4"
"23",4,"Tyler Allgeier",ATL,"RB8","14","22","1 out of 5 stars","-1"
"24",4,"John Metchie III",HOU,"WR14","6","22","3 out of 5 stars","-10"
"25",4,"Malik Willis",TEN,"QB2","6","23","4 out of 5 stars","+6"
"26",5,"Tyrion Davis-Price",SF,"RB9","9","21","2 out of 5 stars","-2"
"27",5,"Zamir White",LV,"RB10","6","22","2 out of 5 stars","-6"
"28",5,"Desmond Ridder",ATL,"QB3","14","22","3 out of 5 stars","+13"
"29",5,"Tyquan Thornton",NE,"WR15","10","21","4 out of 5 stars","0"
"30",5,"Khalil Shakir",BUF,"WR16","7","22","4 out of 5 stars","0"
"31",5,"Hassan Haskins",TEN,"RB11","6","22","4 out of 5 stars","+2"
"32",5,"Matt Corral",CAR,"QB4","13","23","3 out of 5 stars","-"
"33",5,"Greg Dulcich",DEN,"TE2","9","22","3 out of 5 stars","+2"
"34",5,"Calvin Austin III",PIT,"WR17","9","23","4 out of 5 stars","+5"
"35",5,"Pierre Strong Jr.",NE,"RB12","10","23","4 out of 5 stars","-1"
"36",5,"Romeo Doubs",GB,"WR18","14","22","3 out of 5 stars","-4"
"37",5,"Jelani Woods",IND,"TE3","14","23","2 out of 5 stars","-9"
"38",6,"Danny Gray",SF,"WR19","9","23","3 out of 5 stars","+4"
"39",6,"Keaontay Ingram",ARI,"RB13","13","22","2 out of 5 stars","-3"
"40",6,"Kyren Williams",LAR,"RB14","7","22","2 out of 5 stars","-2"
"41",6,"Sam Howell",WAS,"QB5","14","21","4 out of 5 stars","+8"
"42",6,"Velus Jones Jr.",CHI,"WR20","14","25","3 out of 5 stars","-15"
"43",6,"Tyler Badie",BAL,"RB15","10","22","4 out of 5 stars","-6"
"44",6,"Kyle Philips",TEN,"WR21","6","23","3 out of 5 stars","-"
"45",6,"Jerome Ford",CLE,"RB16","9","22","3 out of 5 stars","-2"
"46",6,"Jeremy Ruckert",NYJ,"TE4","10","22","3 out of 5 stars","+1"
"47",6,"Snoop Conner",JAC,"RB17","11","22","3 out of 5 stars","+1"
"48",6,"Ty Chandler",MIN,"RB18","7","24","4 out of 5 stars","-2"
"49",6,"Justyn Ross",KC,"WR22","8","22","2 out of 5 stars","-9"
"50",6,"Isiah Pacheco",KC,"RB19","8","22","3 out of 5 stars","-"
"51",6,"Cade Otton",TB,"TE5","11","23","3 out of 5 stars","-6"
"52",6,"Isaiah Likely",BAL,"TE6","10","22","2 out of 5 stars","0"
"53",6,"Daniel Bellinger",NYG,"TE7","9","21","4 out of 5 stars","-9"
"54",7,"Kevin Harris",NE,"RB20","10","21","4 out of 5 stars","+1"
"55",7,"Erik Ezukanma",MIA,"WR23","11","22","2 out of 5 stars","-4"
"56",7,"Chigoziem Okonkwo",TEN,"TE8","6","22","5 out of 5 stars","-"
"57",7,"Charlie Kolar",BAL,"TE9","10","23","2 out of 5 stars","0"
"58",7,"Bo Melton",SEA,"WR24","11","23","4 out of 5 stars","-5"
"59",7,"Trestan Ebner",CHI,"RB21","14","23","5 out of 5 stars","-9"
"60",7,"Jake Ferguson",DAL,"TE10","9","23","3 out of 5 stars","-6"
"61",7,"Kennedy Brooks",PHI,"RB22","7","23","3 out of 5 stars","-"
"62",7,"Abram Smith",NO,"RB23","14","-","3 out of 5 stars","-"
"63",7,"Carson Strong",PHI,"QB6","7","22","4 out of 5 stars","-"
"64",7,"D'Vonte Price",IND,"RB24","14","23","3 out of 5 stars","-"
"65",7,"Samori Toure",GB,"WR25","14","24","3 out of 5 stars","-"
"66",7,"Cole Turner",WAS,"TE11","14","-","4 out of 5 stars","-"
"67",8,"Bailey Zappe",NE,"QB7","10","23","4 out of 5 stars","-"
"68",8,"Jerrion Ealy",KC,"RB25","8","22","3 out of 5 stars","-"
"69",8,"Tyler Goodson",GB,"RB26","14","21","3 out of 5 stars","-"
"70",8,"Zonovan Knight",NYJ,"RB27","10","-","4 out of 5 stars","-"
"71",8,"Jalen Nailor",MIN,"WR26","7","23","2 out of 5 stars","-"
"72",8,"Montrell Washington",DEN,"WR27","9","23","4 out of 5 stars","-"
"73",8,"Jalen Wydermyer",NE,"TE12","10","21","4 out of 5 stars","-17"
"74",8,"Sincere McCormick",LV,"RB28","6","21","2 out of 5 stars","-"
"75",8,"Makai Polk",BAL,"WR28","10","21","3 out of 5 stars","-"
"76",8,"Grant Calcaterra",PHI,"TE13","7","23","2 out of 5 stars","-"
"77",8,"James Mitchell",DET,"TE14","6","23","4 out of 5 stars","-"
"78",8,"Michael Woods II",FA,"WR29","-","22","-","-"
"79",8,"Dontario Drummond",DAL,"WR30","9","25","3 out of 5 stars","-"
"80",8,"Kevin Austin Jr.",JAC,"WR31","11","-","4 out of 5 stars","-"
"81",8,"Devon Williams",FA,"WR32","-","-","-","-"
"82",8,"Max Borghi",PIT,"RB29","9","22","3 out of 5 stars","-"
"83",8,"Brock Purdy",SF,"QB8","9","22","3 out of 5 stars","-"
"84",8,"Skylar Thompson",MIA,"QB9","11","25","2 out of 5 stars","-"
"85",9,"Charleston Rambo",CAR,"WR33","13","-","3 out of 5 stars","-"
"86",9,"CJ Verdell",IND,"RB30","14","23","3 out of 5 stars","-"
"87",9,"Braylon Sanders",MIA,"WR34","11","23","2 out of 5 stars","-"
"88",9,"Derrick Deese Jr.",DET,"TE15","6","-","4 out of 5 stars","-"
"89",9,"Kaleb Eleby",FA,"QB10","-","-","-","-"
"90",9,"Ty Fryfogle",FA,"WR35","-","23","-","-"
"91",9,"Leddie Brown",LAC,"RB31","8","22","2 out of 5 stars","-"
"92",9,"Jack Coan",IND,"QB11","14","23","3 out of 5 stars","-"
"93",9,"Dai'Jean Dixon",NO,"WR36","14","23","4 out of 5 stars","-"
"94",9,"Master Teague",FA,"RB32","-","22","-","-"
"95",9,"Reggie Roberson",FA,"WR37","-","-","-","-"
"96",9,"Trey Sanders",FA,"RB33","-","-","-","-"